"","p","GCC","err"
"1",0.05,9.3,1.14455231422595
"2",0.1,26.9,6.163602842494
"3",0.121052631578947,44.35,12.2485713452631
"4",0.142105263157895,99.7,39.5639987867758
"5",0.163157894736842,283.9,124.825838671326
"6",0.184210526315789,1629.6,538.738285255467
"7",0.205263157894737,3463.9,217.185611862296
"8",0.226315789473684,4742.25,164.291166834978
"9",0.247368421052632,5756.5,128.765872807971
"10",0.268421052631579,6489.05,77.9406665354803
"11",0.289473684210526,7087.45,82.6005296593422
"12",0.310526315789474,7549.55,68.2784556064204
"13",0.331578947368421,7944.7,67.5914935476858
"14",0.352631578947368,8262.55,58.9520779957019
"15",0.373684210526316,8521.4,36.1433258016411
"16",0.394736842105263,8718.8,44.4011261121072
"17",0.41578947368421,8909.6,29.7815379049289
"18",0.436842105263158,9069,37.6643067106517
"19",0.457894736842105,9205.4,23.5231800572026
"20",0.478947368421053,9322.6,27.1889683510544
"21",0.5,9402.75,19.7784605063185
"22",0.8,9921.05,7.94024558904226
