"","p_ext","GCC","err"
"1",0.1,4362.15,63.0708133767283
"2",0.147368421052632,6087.55,61.7863051168457
"3",0.194736842105263,7305.3,53.7997211888354
"4",0.242105263157895,8159.8,48.7458716200298
"5",0.289473684210526,8752.2,34.5580670752223
"6",0.336842105263158,9178.35,25.277015250908
"7",0.384210526315789,9447.25,19.7379710204965
"8",0.431578947368421,9641.65,17.7630937621681
"9",0.478947368421053,9788.25,18.2917331055852
"10",0.526315789473684,9872,8.91066776431264
"11",0.573684210526316,9926.7,8.7068938196973
"12",0.621052631578947,9954.15,6.69533419633375
"13",0.668421052631579,9976.15,5.55225179683858
"14",0.715789473684211,9987.5,2.95803989154981
"15",0.763157894736842,9994.8,1.80554701001232
"16",0.810526315789474,9997.95,1.16081866866559
"17",0.857894736842105,9998.9,0.994987441899014
"18",0.905263157894737,9999.55,0.668954423160187
"19",0.952631578947368,9999.95,0.217944911623998
"20",1,9999.95,0.217944911623998
