"","p","diam","err"
"1",0.05,3.3,0.458257569495585
"2",0.1,4.85,0.852936105461601
"3",0.121052631578947,4.95,0.739932429347437
"4",0.142105263157895,5.35,0.572276157112983
"5",0.163157894736842,5.9,0.768114574786858
"6",0.184210526315789,5.9,0.53851648071345
"7",0.205263157894737,6.2,0.748331477354785
"8",0.226315789473684,6.1,0.624499799839846
"9",0.247368421052632,6.35,0.7262919523167
"10",0.268421052631579,6.6,0.489897948556638
"11",0.289473684210526,6.7,0.714142842854284
"12",0.310526315789474,6.55,0.668954408012986
"13",0.331578947368421,6.7,0.458257569495585
"14",0.352631578947368,6.75,0.698212002188445
"15",0.373684210526316,6.8,0.678232998312533
"16",0.394736842105263,6.8,0.678232998312533
"17",0.41578947368421,6.9,0.624499799839835
"18",0.436842105263158,6.95,1.02347447452294
"19",0.457894736842105,6.7,0.556776436283004
"20",0.478947368421053,7.05,0.739932429347437
"21",0.5,7.05,0.739932429347437
"22",0.8,8.25,0.82915619758885
