node_from,node_to,weight
HR.1,HR.4,1
HR.1,HR.54,1
HR.2,HR.36,1
HR.2,HR.41,1
HR.2,HR.43,1
HR.2,HR.44,1
HR.2,HR.52,1
HR.2,HR.55,1
HR.2,HR.61,1
HR.3,HR.9,1
HR.3,HR.12,1
HR.3,HR.56,1
HR.3,HR.61,1
HR.4,HR.8,1
HR.5,HR.6,1
HR.5,HR.11,1
HR.5,HR.16,1
HR.5,HR.48,1
HR.5,HR.50,1
HR.5,HR.59,1
HR.5,HR.60,1
HR.6,HR.11,1
HR.6,HR.14,1
HR.6,HR.16,1
HR.6,HR.18,1
HR.6,HR.48,1
HR.6,HR.50,1
HR.6,HR.59,1
HR.6,HR.60,1
HR.7,HR.12,1
HR.7,HR.13,1
HR.7,HR.53,1
HR.7,HR.57,1
HR.8,HR.10,1
HR.8,HR.21,1
HR.9,HR.12,1
HR.9,HR.61,1
HR.10,HR.21,1
HR.10,HR.52,1
HR.11,HR.13,1
HR.11,HR.15,1
HR.11,HR.16,1
HR.11,HR.48,1
HR.11,HR.50,1
HR.11,HR.59,1
HR.11,HR.60,1
HR.12,HR.13,1
HR.12,HR.61,1
HR.13,HR.15,1
HR.14,HR.18,1
HR.15,HR.48,1
HR.15,HR.50,1
HR.15,HR.59,1
HR.15,HR.60,1
HR.16,HR.62,1
HR.17,HR.19,1
HR.18,HR.62,1
HR.19,HR.22,1
HR.19,HR.63,1
HR.20,HR.24,1
HR.20,HR.63,1
HR.21,HR.24,1
HR.22,HR.25,1
HR.23,HR.27,1
HR.24,HR.29,1
HR.24,HR.30,1
HR.25,HR.30,1
HR.25,HR.31,1
HR.26,HR.32,1
HR.26,HR.34,1
HR.26,HR.35,1
HR.26,HR.36,1
HR.26,HR.37,1
HR.26,HR.38,1
HR.27,HR.34,1
HR.27,HR.35,1
HR.27,HR.36,1
HR.27,HR.37,1
HR.27,HR.38,1
HR.28,HR.36,1
HR.29,HR.35,1
HR.29,HR.36,1
HR.29,HR.37,1
HR.29,HR.38,1
HR.30,HR.36,1
HR.30,HR.37,1
HR.30,HR.38,1
HR.30,HR.39,1
HR.30,HR.40,1
HR.31,HR.37,1
HR.31,HR.38,1
HR.31,HR.41,1
HR.31,HR.43,1
HR.31,HR.44,1
HR.31,HR.52,1
HR.31,HR.55,1
HR.31,HR.61,1
HR.32,HR.38,1
HR.32,HR.40,1
HR.32,HR.44,1
HR.33,HR.40,1
HR.33,HR.42,1
HR.34,HR.44,1
HR.35,HR.43,1
HR.35,HR.44,1
HR.35,HR.52,1
HR.35,HR.55,1
HR.35,HR.61,1
HR.36,HR.45,1
HR.37,HR.44,1
HR.37,HR.52,1
HR.37,HR.55,1
HR.37,HR.61,1
HR.38,HR.49,1
HR.38,HR.52,1
HR.38,HR.55,1
HR.38,HR.61,1
HR.39,HR.48,1
HR.39,HR.53,1
HR.39,HR.56,1
HR.40,HR.50,1
HR.40,HR.51,1
HR.40,HR.59,1
HR.41,HR.48,1
HR.42,HR.50,1
HR.42,HR.53,1
HR.42,HR.59,1
HR.42,HR.60,1
HR.43,HR.56,1
HR.44,HR.51,1
HR.44,HR.59,1
HR.44,HR.60,1
HR.45,HR.59,1
HR.46,HR.55,1
HR.46,HR.61,1
HR.47,HR.57,1
HR.48,HR.61,1
HR.49,HR.62,1
HR.50,HR.60,1
